sample,alpha,kappa,beta_0,beta_1
45,3.9632852493188557,1.704198508956831,0.27844559853670325,-0.006138697942157536
46,0.8711878580200424,5.017100817637891,0.5398157045987538,1.0176125776279377
47,-0.5803874491647245,1.8560049383454063,-0.2207146100481491,-0.18209401083789187
48,-5.004524529241748,2.2016466766088634,-0.11968687410974467,0.391655059761435
49,-5.519434425644497,1.7370669278488302,-0.1100084754284206,0.4266620236577625
50,6.849775385944728,6.761743241451623,0.7428033586737507,0.6258532990851655
51,4.4670471915947845,8.552361465864706,0.44757838427101,0.3164391379576202
52,3.48068006255759,6.2416852041989195,0.5392953595596921,0.6694834192702884
53,2.638417972219127,4.812182095822849,0.4399215802693308,0.5282292246120008
54,2.2742280061818345,5.6726308768134315,0.6984341634253477,1.048861353649098
55,2.178372021217262,5.607699730123919,0.6906341457123273,1.0119067933432047
56,0.32565960044346837,2.4031823760295863,0.08283544408960763,0.18489702942633662
57,1.8067404101304227,2.613020397060882,0.40826166046184836,0.5439262023565398
58,-0.2900060601614941,4.0649996370961015,0.13224272237266757,0.3186533777946186
59,-2.115048495908399,2.468581003920563,0.1412066340466446,0.5030803109159021
60,0.32881838657210266,1.1690790726339697,0.06718311473306834,0.17850340771874365
61,2.3918538722298743,2.468041666260947,0.3339270883678126,0.495245863146215
62,1.5599994366376648,2.362635245516076,0.5374405467768202,0.6911730025954543
63,0.7726805183296339,3.09648317102486,0.24872829933153007,0.4958419826920213
64,0.6302442962715469,2.972887917953303,0.2777140878684195,0.44606112578226814
65,1.3420993746522607,4.651969088665482,0.32896195426012503,0.4642460332012808
66,1.5484305000344094,2.569334309656404,0.2894657468200451,0.4179287242801979
67,0.5506232392941647,1.5286698001612151,0.17994916452082166,0.2386321272951374
68,0.38736107906294936,1.5230603243256364,0.1907779689048236,0.2544363650131978
69,0.3271722031783164,1.5943764368554438,0.13154927597622837,0.30496805754222706
70,0.20007289580631787,1.6529314361473515,0.13972839878655133,0.27895011718972546
71,-0.18114636063702858,1.6911960839500702,0.18202590699058607,0.36949589617076445
72,0.229562034060412,1.314387039646428,0.21444824880012417,0.4280148101783481
73,1.3703733900568595,5.958188278343592,0.5557174948790967,0.8668335778749211
74,-0.551595680593906,2.006820404983191,0.19556642011834133,0.5086744346374744
75,-0.011130481751826654,3.666965683056789,0.19309664314455874,0.4596843147967999
76,-0.6809367673991952,3.5371446620405083,0.16458517092394642,0.3727535007952776
77,0.5218743842705826,2.2252924014330078,0.40301890589859135,0.7575079877427294
78,0.3851554918450815,2.347540426444312,0.46507553194274937,0.6870623281650827
79,1.4734520772397808,5.558860935087615,0.46606180982403894,0.656585870936696
80,1.4521327822450925,5.613302825720518,0.43963990657681346,0.6454946291153708
81,2.726539403193171,3.4342602619433076,0.37851114814300607,0.4711639886139754
82,2.609118033892379,2.5074252703666873,0.43678950934976823,0.49615504021738216
83,-0.4548979384488761,3.294641207354369,0.42080610614978287,0.8116227709992896
84,0.7103346937471569,2.017405672167855,0.33138554684473404,0.618481183981161
85,-1.9386615311991409,1.8287176954767477,-0.08601246381978606,0.17939406117515033
86,-2.5299426916159535,1.8838782525681217,-0.14026780559657157,0.10839510664835617
87,1.199121211802786,2.72165187045654,-0.005376939379655662,-0.07068356085100298
88,0.9147936856317718,2.0478145822452403,-0.13180322025119015,-0.17944485830598086
89,1.7768581795837304,2.2043249208060494,-0.057370551652729425,-0.15408514820838187
90,1.6695200966633426,2.2250873136422524,-0.06955849143533029,-0.07061680111522252
91,1.7667013747089084,2.3968712261225136,0.008658994491228854,-0.21427706647374173
92,2.1636442917323415,2.4965672939229364,0.10708125500869581,0.024078720182733323
93,-0.5842192538406424,3.8981239784298336,0.46411415933685013,1.01648025759096
94,0.7814562746446541,5.184232052180624,0.30445366859050127,0.542852609144482
95,0.011265398957112224,2.163903494762891,0.24110236552979786,0.457316354855608
96,0.34696398333170064,3.4046889042614406,0.23730074768243958,0.4412760040084823
97,1.443121306311914,3.9054498972789684,0.20053681997039122,0.2396761799211201
98,1.8942179901302172,3.783238138498438,0.293557673256748,0.35719723407383375
99,-0.025464870492865055,2.3622674338230523,-0.01039702414019543,0.022297436591499364
