sample,alpha,kappa,beta_0,beta_1,beta_2
236,-1.487360886869,4.888506107447387,0.6788345219813087,0.015096929543323945,0.22014659100570286
237,-1.2252754863810629,4.109165358638242,-0.019419664756585003,0.048224267596691295,0.30056517450559034
238,-0.640415156843601,3.897729310790574,-0.12283883198382513,0.1070774422271087,0.24415616190906175
239,-1.5814389503038355,2.8739209593290393,1.8422571367031453,0.020566949174507302,0.25555426858635627
240,1.369127694518567,7.291984836658497,0.9997464355153679,0.4002401979716811,0.6146774297234484
241,-1.8015180773700188,5.589382211270821,1.543229032342493,0.12659037585093655,0.5330298236197987
242,0.34368425090282695,4.417663212872249,0.5099782693463389,0.20343582326507043,0.3241912404804891
243,0.38351938103736377,5.799274589977306,1.1178449807471336,0.41703323961849276,0.7567669989450942
244,0.34798099008567474,5.768320497370324,1.1174636868449148,0.3777824670202078,0.7214221087566672
245,0.3317628930665638,4.71553401137484,1.7282698830918541,0.5193522444341787,1.027975957744629
246,-1.3659094918210233,1.0785142191041777,-0.07081482851383704,-0.1686803034364009,-0.13438635464395368
247,0.0985202694884861,2.1965158767610107,0.7516489952898012,0.2565127294781504,0.47744781462441843
248,-1.3114421036932575,6.077477843158037,0.9399621310406296,0.20948484683984578,0.5237793410171347
249,1.7526663774040712,1.508649629837561,0.9753543816938087,0.29181821181126044,0.32905579248923433
250,1.896126466733969,1.3425348722532553,1.0894807098650066,0.30875143428060176,0.32641785047771843
251,-0.8373893186541709,3.355841597325417,0.7522071825914358,0.1090122739550455,0.36324970490240444
252,-0.7608787816997387,5.776325189619757,0.5911844238379508,0.13138976069184516,0.3537976801622211
253,-1.2581082103666323,5.011419628242324,1.889971638059344,-0.07792165470954543,0.1343119744670063
254,-1.687169267512002,6.035988958991786,2.3349807156834252,-0.1054650074802152,0.13838770961704236
255,-0.01510510826563391,5.785223666485105,1.3474350792981227,0.3782130772722171,0.7085346351086326
256,1.2681783243820457,4.09344974415048,0.37868696515428063,0.2780235048718889,0.4321145299785978
257,2.569036258020156,2.6356409815351705,0.41400402710462797,0.2769571458211496,0.22761991540948753
258,0.8380174702613287,4.809777980111952,0.6530304245381039,0.1279181512540116,0.18123653545153132
